County Name/State Abbreviation,Year,Labor Force,Employed,Unemployed,Unemployment Rate
"Coconino County, AZ",2020,"72,016     ","65,193     ","6,823     ",9.5     
"Gila County, AZ",2020,"20,355     ","18,830     ","1,525     ",7.5     
"Graham County, AZ",2020,"15,412     ","14,464     ",948     ,6.2     
"Greenlee County, AZ",2020,"4,307     ","4,082     ",225     ,5.2     
"La Paz County, AZ",2020,"8,726     ","8,117     ",609     ,7.0     
"Maricopa County, AZ",2020,"2,256,967     ","2,094,758     ","162,209     ",7.2     
"Mohave County, AZ",2020,"85,930     ","77,556     ","8,374     ",9.7     
"Navajo County, AZ",2020,"39,186     ","35,304     ","3,882     ",9.9     
"Pima County, AZ",2020,"479,345     ","443,416     ","35,929     ",7.5     
"Pinal County, AZ",2020,"187,999     ","174,319     ","13,680     ",7.3     
"Santa Cruz County, AZ",2020,"18,775     ","16,677     ","2,098     ",11.2     
"Yavapai County, AZ",2020,"103,471     ","95,949     ","7,522     ",7.3     
"Yuma County, AZ",2020,"94,768     ","78,717     ","16,051     ",16.9     
"Arkansas County, AR",2020,"9,436     ","9,058     ",378     ,4.0     
"Ashley County, AR",2020,"7,178     ","6,506     ",672     ,9.4     
"Baxter County, AR",2020,"16,576     ","15,584     ",992     ,6.0     
"Benton County, AR",2020,"141,515     ","135,182     ","6,333     ",4.5     
"Boone County, AR",2020,"15,857     ","15,019     ",838     ,5.3     
"Bradley County, AR",2020,"4,368     ","4,110     ",258     ,5.9     
"Calhoun County, AR",2020,"2,416     ","2,289     ",127     ,5.3     
"Carroll County, AR",2020,"12,735     ","12,013     ",722     ,5.7     
"Chicot County, AR",2020,"3,213     ","2,876     ",337     ,10.5     
"Clark County, AR",2020,"9,263     ","8,711     ",552     ,6.0     
"Clay County, AR",2020,"5,546     ","5,209     ",337     ,6.1     
"Cleburne County, AR",2020,"9,190     ","8,489     ",701     ,7.6     
"Cleveland County, AR",2020,"3,252     ","3,055     ",197     ,6.1     
"Columbia County, AR",2020,"9,058     ","8,437     ",621     ,6.9     
"Conway County, AR",2020,"8,413     ","7,903     ",510     ,6.1     
"Craighead County, AR",2020,"56,309     ","53,304     ","3,005     ",5.3     
"Crawford County, AR",2020,"26,510     ","25,062     ","1,448     ",5.5     
"Crittenden County, AR",2020,"21,102     ","19,339     ","1,763     ",8.4     
"Cross County, AR",2020,"7,264     ","6,820     ",444     ,6.1     
"Dallas County, AR",2020,"2,821     ","2,669     ",152     ,5.4     
"Desha County, AR",2020,"5,289     ","4,916     ",373     ,7.1     
"Drew County, AR",2020,"7,716     ","7,180     ",536     ,6.9     
"Faulkner County, AR",2020,"62,006     ","58,616     ","3,390     ",5.5     
"Franklin County, AR",2020,"7,481     ","7,058     ",423     ,5.7     
"Fulton County, AR",2020,"4,929     ","4,675     ",254     ,5.2     
"Garland County, AR",2020,"41,320     ","38,009     ","3,311     ",8.0     
"Grant County, AR",2020,"8,289     ","7,858     ",431     ,5.2     
"Greene County, AR",2020,"19,601     ","18,430     ","1,171     ",6.0     
"Hempstead County, AR",2020,"9,628     ","9,125     ",503     ,5.2     
"Hot Spring County, AR",2020,"14,075     ","13,256     ",819     ,5.8     
"Howard County, AR",2020,"5,553     ","5,273     ",280     ,5.0     
"Independence County, AR",2020,"16,737     ","15,770     ",967     ,5.8     
"Izard County, AR",2020,"4,655     ","4,261     ",394     ,8.5     
"Jackson County, AR",2020,"5,852     ","5,428     ",424     ,7.2     
"Jefferson County, AR",2020,"27,287     ","25,079     ","2,208     ",8.1     
"Johnson County, AR",2020,"10,140     ","9,498     ",642     ,6.3     
"Lafayette County, AR",2020,"2,419     ","2,233     ",186     ,7.7     
"Lawrence County, AR",2020,"6,797     ","6,377     ",420     ,6.2     
"Lee County, AR",2020,"2,747     ","2,536     ",211     ,7.7     
"Lincoln County, AR",2020,"3,868     ","3,637     ",231     ,6.0     
"Little River County, AR",2020,"5,353     ","5,003     ",350     ,6.5     
"Logan County, AR",2020,"8,664     ","8,085     ",579     ,6.7     
"Lonoke County, AR",2020,"33,761     ","31,886     ","1,875     ",5.6     
"Madison County, AR",2020,"7,292     ","7,001     ",291     ,4.0     
"Marion County, AR",2020,"6,265     ","5,860     ",405     ,6.5     
"Miller County, AR",2020,"19,343     ","18,003     ","1,340     ",6.9     
"Mississippi County, AR",2020,"17,269     ","15,704     ","1,565     ",9.1     
"Monroe County, AR",2020,"2,722     ","2,541     ",181     ,6.6     
"Montgomery County, AR",2020,"2,958     ","2,752     ",206     ,7.0     
"Nevada County, AR",2020,"3,545     ","3,336     ",209     ,5.9     
"Newton County, AR",2020,"3,186     ","3,023     ",163     ,5.1     
"Ouachita County, AR",2020,"9,840     ","9,243     ",597     ,6.1     
"Perry County, AR",2020,"4,132     ","3,899     ",233     ,5.6     
"Phillips County, AR",2020,"6,303     ","5,723     ",580     ,9.2     
"Pike County, AR",2020,"4,270     ","4,016     ",254     ,5.9     
"Poinsett County, AR",2020,"9,753     ","9,206     ",547     ,5.6     
"Polk County, AR",2020,"8,005     ","7,468     ",537     ,6.7     
"Pope County, AR",2020,"27,870     ","26,218     ","1,652     ",5.9     
"Prairie County, AR",2020,"3,611     ","3,417     ",194     ,5.4     
"Pulaski County, AR",2020,"189,050     ","174,991     ","14,059     ",7.4     
"Randolph County, AR",2020,"7,449     ","7,006     ",443     ,5.9     
"St. Francis County, AR",2020,"8,022     ","7,388     ",634     ,7.9     
"Saline County, AR",2020,"58,783     ","55,813     ","2,970     ",5.1     
"Scott County, AR",2020,"4,345     ","4,150     ",195     ,4.5     
"Searcy County, AR",2020,"2,878     ","2,692     ",186     ,6.5     
"Sebastian County, AR",2020,"56,085     ","52,716     ","3,369     ",6.0     
"Sevier County, AR",2020,"5,543     ","5,218     ",325     ,5.9     
"Sharp County, AR",2020,"5,717     ","5,306     ",411     ,7.2     
"Stone County, AR",2020,"4,624     ","4,295     ",329     ,7.1     
"Union County, AR",2020,"15,615     ","14,310     ","1,305     ",8.4     
"Van Buren County, AR",2020,"5,767     ","5,354     ",413     ,7.2     
"Washington County, AR",2020,"125,379     ","119,532     ","5,847     ",4.7     
"White County, AR",2020,"34,020     ","31,880     ","2,140     ",6.3     
"Woodruff County, AR",2020,"2,826     ","2,661     ",165     ,5.8     
"Yell County, AR",2020,"7,933     ","7,526     ",407     ,5.1     
"Alameda County, CA",2020,"816,829     ","743,193     ","73,636     ",9.0     
"Alpine County, CA",2020,513     ,453     ,60     ,11.7     
"Amador County, CA",2020,"14,451     ","13,084     ","1,367     ",9.5     
"Butte County, CA",2020,"93,080     ","84,291     ","8,789     ",9.4     
"Calaveras County, CA",2020,"21,315     ","19,637     ","1,678     ",7.9     
"Colusa County, CA",2020,"10,607     ","8,853     ","1,754     ",16.5     
"Contra Costa County, CA",2020,"545,458     ","495,891     ","49,567     ",9.1     
"Del Norte County, CA",2020,"9,414     ","8,497     ",917     ,9.7     
"El Dorado County, CA",2020,"90,730     ","82,984     ","7,746     ",8.5     
"Fresno County, CA",2020,"444,993     ","392,711     ","52,282     ",11.7     
"Glenn County, CA",2020,"12,737     ","11,581     ","1,156     ",9.1     
"Humboldt County, CA",2020,"59,653     ","54,515     ","5,138     ",8.6     
"Imperial County, CA",2020,"71,528     ","55,218     ","16,310     ",22.8     
"Inyo County, CA",2020,"8,305     ","7,637     ",668     ,8.0     
"Kern County, CA",2020,"385,860     ","335,929     ","49,931     ",12.9     
"Kings County, CA",2020,"56,921     ","50,118     ","6,803     ",12.0     
"Lake County, CA",2020,"28,411     ","25,614     ","2,797     ",9.8     
"Lassen County, CA",2020,"9,393     ","8,694     ",699     ,7.4     
"Los Angeles County, CA",2020,"4,968,912     ","4,355,926     ","612,986     ",12.3     
"Madera County, CA",2020,"61,852     ","54,920     ","6,932     ",11.2     
"Marin County, CA",2020,"130,414     ","121,476     ","8,938     ",6.9     
"Mariposa County, CA",2020,"7,191     ","6,385     ",806     ,11.2     
"Mendocino County, CA",2020,"37,099     ","33,698     ","3,401     ",9.2     
"Merced County, CA",2020,"115,332     ","100,761     ","14,571     ",12.6     
"Modoc County, CA",2020,"3,174     ","2,893     ",281     ,8.9     
"Mono County, CA",2020,"7,875     ","6,917     ",958     ,12.2     
"Monterey County, CA",2020,"213,837     ","189,830     ","24,007     ",11.2     
"Napa County, CA",2020,"68,777     ","62,575     ","6,202     ",9.0     
"Nevada County, CA",2020,"46,697     ","42,871     ","3,826     ",8.2     
"Orange County, CA",2020,"1,561,462     ","1,420,678     ","140,784     ",9.0     
"Placer County, CA",2020,"186,664     ","172,621     ","14,043     ",7.5     
"Plumas County, CA",2020,"7,615     ","6,768     ",847     ,11.1     
"Riverside County, CA",2020,"1,117,258     ","1,003,553     ","113,705     ",10.2     
"Sacramento County, CA",2020,"709,713     ","641,956     ","67,757     ",9.5     
"San Benito County, CA",2020,"32,493     ","29,251     ","3,242     ",10.0     
"San Bernardino County, CA",2020,"971,384     ","876,969     ","94,415     ",9.7     
"San Diego County, CA",2020,"1,541,979     ","1,395,730     ","146,249     ",9.5     
"San Francisco County/city, CA",2020,"558,105     ","513,363     ","44,742     ",8.0     
"San Joaquin County, CA",2020,"334,292     ","295,559     ","38,733     ",11.6     
"San Luis Obispo County, CA",2020,"133,921     ","123,379     ","10,542     ",7.9     
"San Mateo County, CA",2020,"437,835     ","407,241     ","30,594     ",7.0     
"Santa Barbara County, CA",2020,"218,122     ","200,213     ","17,909     ",8.2     
"Santa Clara County, CA",2020,"1,021,799     ","948,273     ","73,526     ",7.2     
"Santa Cruz County, CA",2020,"134,611     ","121,436     ","13,175     ",9.8     
"Shasta County, CA",2020,"73,129     ","66,563     ","6,566     ",9.0     
"Sierra County, CA",2020,"1,283     ","1,176     ",107     ,8.3     
"Siskiyou County, CA",2020,"16,938     ","15,228     ","1,710     ",10.1     
"Solano County, CA",2020,"201,518     ","181,675     ","19,843     ",9.8     
"Sonoma County, CA",2020,"245,312     ","225,417     ","19,895     ",8.1     
"Stanislaus County, CA",2020,"241,656     ","214,903     ","26,753     ",11.1     
"Sutter County, CA",2020,"45,440     ","40,238     ","5,202     ",11.4     
"Tehama County, CA",2020,"25,630     ","23,282     ","2,348     ",9.2     
"Trinity County, CA",2020,"4,532     ","4,157     ",375     ,8.3     
"Tulare County, CA",2020,"202,207     ","174,781     ","27,426     ",13.6     
"Tuolumne County, CA",2020,"20,153     ","17,998     ","2,155     ",10.7     
"Ventura County, CA",2020,"409,408     ","373,303     ","36,105     ",8.8     
"Yolo County, CA",2020,"104,638     ","96,435     ","8,203     ",7.8     
"Yuba County, CA",2020,"30,665     ","27,370     ","3,295     ",10.7     
"Adams County, CO",2020,"270,349     ","249,734     ","20,615     ",7.6     
"Alamosa County, CO",2020,"8,312     ","7,809     ",503     ,6.1     
"Arapahoe County, CO",2020,"359,977     ","333,136     ","26,841     ",7.5     
"Archuleta County, CO",2020,"7,042     ","6,537     ",505     ,7.2     
"Baca County, CO",2020,"2,083     ","2,036     ",47     ,2.3     
"Bent County, CO",2020,"1,773     ","1,700     ",73     ,4.1     
"Boulder County, CO",2020,"190,742     ","179,615     ","11,127     ",5.8     
"Broomfield County/city, CO",2020,"40,409     ","37,908     ","2,501     ",6.2     
"Chaffee County, CO",2020,"9,642     ","9,062     ",580     ,6.0     
"Cheyenne County, CO",2020,"1,083     ","1,058     ",25     ,2.3     
"Clear Creek County, CO",2020,"5,964     ","5,475     ",489     ,8.2     
"Conejos County, CO",2020,"4,006     ","3,790     ",216     ,5.4     
"Costilla County, CO",2020,"1,812     ","1,687     ",125     ,6.9     
"Crowley County, CO",2020,"1,440     ","1,364     ",76     ,5.3     
"Custer County, CO",2020,"2,085     ","1,986     ",99     ,4.7     
"Delta County, CO",2020,"14,159     ","13,273     ",886     ,6.3     
"Denver County/city, CO",2020,"419,844     ","387,275     ","32,569     ",7.8     
"Dolores County, CO",2020,"1,135     ","1,061     ",74     ,6.5     
"Douglas County, CO",2020,"196,099     ","185,505     ","10,594     ",5.4     
"Eagle County, CO",2020,"35,383     ","32,204     ","3,179     ",9.0     
"Elbert County, CO",2020,"15,000     ","14,339     ",661     ,4.4     
"El Paso County, CO",2020,"341,997     ","318,462     ","23,535     ",6.9     
"Fremont County, CO",2020,"15,223     ","14,104     ","1,119     ",7.4     
"Garfield County, CO",2020,"31,405     ","29,376     ","2,029     ",6.5     
"Gilpin County, CO",2020,"3,930     ","3,501     ",429     ,10.9     
"Grand County, CO",2020,"9,245     ","8,505     ",740     ,8.0     
"Gunnison County, CO",2020,"11,296     ","10,587     ",709     ,6.3     
"Hinsdale County, CO",2020,423     ,406     ,17     ,4.0     
"Huerfano County, CO",2020,"2,597     ","2,362     ",235     ,9.0     
"Jackson County, CO",2020,935     ,898     ,37     ,4.0     
"Jefferson County, CO",2020,"327,550     ","305,440     ","22,110     ",6.8     
"Kiowa County, CO",2020,953     ,931     ,22     ,2.3     
"Kit Carson County, CO",2020,"4,211     ","4,098     ",113     ,2.7     
"Lake County, CO",2020,"4,803     ","4,434     ",369     ,7.7     
"La Plata County, CO",2020,"30,924     ","28,897     ","2,027     ",6.6     
"Larimer County, CO",2020,"201,273     ","189,216     ","12,057     ",6.0     
"Las Animas County, CO",2020,"6,398     ","5,947     ",451     ,7.0     
"Lincoln County, CO",2020,"2,340     ","2,241     ",99     ,4.2     
"Logan County, CO",2020,"10,867     ","10,385     ",482     ,4.4     
"Mesa County, CO",2020,"74,725     ","69,424     ","5,301     ",7.1     
"Mineral County, CO",2020,464     ,438     ,26     ,5.6     
"Moffat County, CO",2020,"7,162     ","6,749     ",413     ,5.8     
"Montezuma County, CO",2020,"12,626     ","11,760     ",866     ,6.9     
"Montrose County, CO",2020,"21,491     ","20,134     ","1,357     ",6.3     
"Morgan County, CO",2020,"15,899     ","15,089     ",810     ,5.1     
"Otero County, CO",2020,"8,179     ","7,701     ",478     ,5.8     
"Ouray County, CO",2020,"2,481     ","2,291     ",190     ,7.7     
"Park County, CO",2020,"10,969     ","10,370     ",599     ,5.5     
"Phillips County, CO",2020,"2,459     ","2,396     ",63     ,2.6     
"Pitkin County, CO",2020,"11,122     ","10,017     ","1,105     ",9.9     
"Prowers County, CO",2020,"6,114     ","5,856     ",258     ,4.2     
"Pueblo County, CO",2020,"76,155     ","70,230     ","5,925     ",7.8     
"Rio Blanco County, CO",2020,"2,905     ","2,754     ",151     ,5.2     
"Rio Grande County, CO",2020,"5,360     ","4,993     ",367     ,6.8     
"Routt County, CO",2020,"15,923     ","14,729     ","1,194     ",7.5     
"Saguache County, CO",2020,"3,405     ","3,176     ",229     ,6.7     
"San Juan County, CO",2020,519     ,486     ,33     ,6.4     
"San Miguel County, CO",2020,"5,425     ","4,865     ",560     ,10.3     
"Sedgwick County, CO",2020,"1,154     ","1,115     ",39     ,3.4     
"Summit County, CO",2020,"21,962     ","19,912     ","2,050     ",9.3     
"Teller County, CO",2020,"12,836     ","11,924     ",912     ,7.1     
"Washington County, CO",2020,"2,844     ","2,759     ",85     ,3.0     
"Weld County, CO",2020,"164,840     ","153,943     ","10,897     ",6.6     
"Yuma County, CO",2020,"5,552     ","5,404     ",148     ,2.7     
"Fairfield County, CT",2020,"473,208     ","436,155     ","37,053     ",7.8     
"Hartford County, CT",2020,"482,601     ","443,952     ","38,649     ",8.0     
"Litchfield County, CT",2020,"103,484     ","96,504     ","6,980     ",6.7     
"Middlesex County, CT",2020,"93,209     ","87,216     ","5,993     ",6.4     
"New Haven County, CT",2020,"462,508     ","426,061     ","36,447     ",7.9     
"New London County, CT",2020,"133,743     ","121,093     ","12,650     ",9.5     
"Tolland County, CT",2020,"85,905     ","80,682     ","5,223     ",6.1     
"Windham County, CT",2020,"63,124     ","58,291     ","4,833     ",7.7     
"Kent County, DE",2020,"79,826     ","73,170     ","6,656     ",8.3     
"New Castle County, DE",2020,"298,781     ","276,479     ","22,302     ",7.5     
"Sussex County, DE",2020,"107,206     ","99,465     ","7,741     ",7.2     
District of Columbia,2020,"389,384     ","358,370     ","31,014     ",8.0     
"Alachua County, FL",2020,"134,486     ","126,648     ","7,838     ",5.8     
"Baker County, FL",2020,"11,655     ","11,020     ",635     ,5.4     
"Bay County, FL",2020,"82,680     ","77,353     ","5,327     ",6.4     
"Bradford County, FL",2020,"10,713     ","10,018     ",695     ,6.5     
"Brevard County, FL",2020,"281,504     ","261,302     ","20,202     ",7.2     
"Broward County, FL",2020,"1,021,021     ","923,137     ","97,884     ",9.6     
"Calhoun County, FL",2020,"4,744     ","4,479     ",265     ,5.6     
"Charlotte County, FL",2020,"71,385     ","65,764     ","5,621     ",7.9     
"Citrus County, FL",2020,"46,588     ","42,350     ","4,238     ",9.1     
"Clay County, FL",2020,"104,580     ","98,510     ","6,070     ",5.8     
"Collier County, FL",2020,"176,321     ","163,139     ","13,182     ",7.5     
"Columbia County, FL",2020,"29,435     ","27,537     ","1,898     ",6.4     
"DeSoto County, FL",2020,"14,350     ","13,549     ",801     ,5.6     
"Dixie County, FL",2020,"5,845     ","5,495     ",350     ,6.0     
"Duval County, FL",2020,"480,408     ","444,860     ","35,548     ",7.4     
"Escambia County, FL",2020,"143,637     ","133,112     ","10,525     ",7.3     
"Flagler County, FL",2020,"47,089     ","43,263     ","3,826     ",8.1     
"Franklin County, FL",2020,"4,651     ","4,380     ",271     ,5.8     
"Gadsden County, FL",2020,"18,212     ","16,840     ","1,372     ",7.5     
"Gilchrist County, FL",2020,"7,035     ","6,661     ",374     ,5.3     
"Glades County, FL",2020,"5,070     ","4,755     ",315     ,6.2     
"Gulf County, FL",2020,"5,074     ","4,754     ",320     ,6.3     
"Hamilton County, FL",2020,"4,210     ","3,856     ",354     ,8.4     
"Hardee County, FL",2020,"8,466     ","7,871     ",595     ,7.0     
"Hendry County, FL",2020,"15,287     ","13,907     ","1,380     ",9.0     
"Hernando County, FL",2020,"71,952     ","65,730     ","6,222     ",8.6     
"Highlands County, FL",2020,"34,624     ","31,723     ","2,901     ",8.4     
"Hillsborough County, FL",2020,"754,031     ","695,631     ","58,400     ",7.7     
"Holmes County, FL",2020,"6,814     ","6,407     ",407     ,6.0     
"Indian River County, FL",2020,"64,151     ","59,027     ","5,124     ",8.0     
"Jackson County, FL",2020,"17,124     ","16,107     ","1,017     ",5.9     
"Jefferson County, FL",2020,"5,413     ","5,085     ",328     ,6.1     
"Lafayette County, FL",2020,"2,769     ","2,640     ",129     ,4.7     
"Lake County, FL",2020,"156,772     ","142,000     ","14,772     ",9.4     
"Lee County, FL",2020,"345,113     ","317,759     ","27,354     ",7.9     
"Leon County, FL",2020,"150,692     ","141,137     ","9,555     ",6.3     
"Levy County, FL",2020,"16,479     ","15,398     ","1,081     ",6.6     
"Liberty County, FL",2020,"2,592     ","2,457     ",135     ,5.2     
"Madison County, FL",2020,"7,546     ","7,042     ",504     ,6.7     
"Manatee County, FL",2020,"175,685     ","162,804     ","12,881     ",7.3     
"Marion County, FL",2020,"138,952     ","128,343     ","10,609     ",7.6     
"Martin County, FL",2020,"71,353     ","66,677     ","4,676     ",6.6     
"Miami-Dade County, FL",2020,"1,271,646     ","1,177,701     ","93,945     ",7.4     
"Monroe County, FL",2020,"44,444     ","40,725     ","3,719     ",8.4     
"Nassau County, FL",2020,"41,553     ","39,035     ","2,518     ",6.1     
"Okaloosa County, FL",2020,"95,234     ","89,599     ","5,635     ",5.9     
"Okeechobee County, FL",2020,"17,090     ","16,089     ","1,001     ",5.9     
"Orange County, FL",2020,"741,842     ","656,788     ","85,054     ",11.5     
"Osceola County, FL",2020,"190,165     ","162,828     ","27,337     ",14.4     
"Palm Beach County, FL",2020,"715,415     ","656,556     ","58,859     ",8.2     
"Pasco County, FL",2020,"240,726     ","222,182     ","18,544     ",7.7     
"Pinellas County, FL",2020,"476,669     ","440,134     ","36,535     ",7.7     
"Polk County, FL",2020,"319,699     ","288,447     ","31,252     ",9.8     
"Putnam County, FL",2020,"26,398     ","24,111     ","2,287     ",8.7     
"St. Johns County, FL",2020,"137,667     ","130,012     ","7,655     ",5.6     
"St. Lucie County, FL",2020,"146,919     ","134,666     ","12,253     ",8.3     
"Santa Rosa County, FL",2020,"82,862     ","78,224     ","4,638     ",5.6     
"Sarasota County, FL",2020,"183,985     ","170,423     ","13,562     ",7.4     
"Seminole County, FL",2020,"237,580     ","219,095     ","18,485     ",7.8     
"Sumter County, FL",2020,"32,660     ","29,876     ","2,784     ",8.5     
